month_date,open,high,low,close,volume,open_aapl,high_aapl,low_aapl,close_aapl,volume_aapl,open_amazon,high_amazon,low_amazon,close_amazon,volume_amazon,open_msft,high_msft,low_msft,close_msft,volume_msft
2016-01-01,4624.01,4662.81,4557.59,4610.71,2361954210.53,24.68,24.99,24.23,24.61,267757473.68,603.43,613.21,589.95,601.06,6852678.95,52.49,53.07,51.72,52.4,48837615.79
2016-02-01,4462.56,4499.42,4420.67,4463.21,2155432500.0,23.92,24.18,23.68,23.94,162172520.0,531.87,539.9,521.1,530.62,6207240.0,51.57,52.05,50.75,51.38,40738545.0
2016-03-01,4739.35,4770.36,4720.47,4754.48,1851767272.73,25.95,26.22,25.81,26.07,135645381.82,570.43,577.27,563.42,572.37,4273159.09,53.16,53.76,52.72,53.38,29141404.55
2016-04-01,4891.97,4916.23,4864.6,4892.17,1810204761.9,26.7,26.94,26.46,26.68,166168323.81,613.53,619.65,607.13,613.59,3736390.48,54.08,54.49,53.56,54.05,33286938.1
2016-05-01,4780.34,4808.79,4760.94,4788.24,1847773333.33,23.74,23.92,23.51,23.74,171556476.19,694.64,702.98,690.16,697.47,4314976.19,50.85,51.33,50.49,50.97,25271657.14
2016-06-01,4853.03,4878.53,4830.55,4856.23,2009722727.27,24.15,24.37,23.99,24.16,141726854.55,716.12,721.05,710.85,716.39,3388222.73,50.8,51.31,50.49,50.92,37437590.91
2016-07-01,5015.6,5035.98,5000.2,5023.99,1802502000.0,24.61,24.79,24.5,24.64,137155920.0,741.99,746.52,735.74,741.47,3431775.0,54.01,54.42,53.71,54.1,32379390.0
2016-08-01,5215.64,5231.51,5198.78,5217.04,1684990434.78,26.87,27.04,26.75,26.92,109587565.22,764.29,767.61,760.9,764.84,2173930.43,57.67,57.95,57.42,57.72,20307778.26
2016-09-01,5248.72,5273.44,5224.9,5254.15,1907361904.76,27.67,27.94,27.45,27.71,184383923.81,786.41,793.09,782.5,788.97,3206461.9,57.25,57.64,56.87,57.29,25067990.48
2016-10-01,5266.22,5279.34,5240.79,5255.99,1649754761.9,28.94,29.1,28.74,28.93,130840819.05,826.92,830.65,819.91,824.44,3669704.76,58.42,58.77,58.06,58.4,29278180.95
2016-11-01,5256.84,5285.54,5228.45,5260.57,1993843809.52,27.52,27.77,27.25,27.54,137439047.62,766.72,772.94,755.45,763.34,5242185.71,59.96,60.39,59.44,59.93,29193180.95
2016-12-01,5415.38,5437.37,5391.73,5413.12,1836155238.1,28.5,28.76,28.39,28.58,115956514.29,764.8,769.51,757.53,763.33,3507628.57,62.1,62.55,61.68,62.12,24456176.19
2017-01-01,5554.26,5572.4,5535.16,5561.42,1801398500.0,29.77,29.97,29.7,29.89,112624400.0,804.97,810.83,799.35,807.51,3530700.0,63.19,63.53,62.75,63.19,24672675.0
2017-02-01,5753.89,5774.06,5740.9,5764.7,1932082105.26,33.31,33.54,33.21,33.43,121046021.05,833.58,839.05,829.61,835.75,3776226.32,64.13,64.39,63.78,64.11,23197052.63
2017-03-01,5861.01,5883.04,5842.02,5864.96,1910335652.17,35.09,35.3,34.93,35.15,97674504.35,853.04,857.56,849.32,854.24,2639595.65,64.76,65.15,64.44,64.84,21268247.83
2017-04-01,5913.9,5932.02,5893.93,5912.17,1778589473.68,35.76,35.9,35.58,35.72,78590336.84,904.89,910.52,898.47,903.39,3870510.53,66.24,66.52,65.81,66.17,22799536.84
2017-05-01,6120.87,6137.4,6101.26,6124.88,1922063181.82,37.99,38.27,37.78,38.06,118905781.82,960.27,966.45,955.04,961.72,3463727.27,68.83,69.21,68.44,68.92,23509931.82
2017-06-01,6229.75,6251.04,6188.45,6224.29,2213177727.27,37.05,37.27,36.65,36.96,124396018.18,995.04,999.85,980.79,990.44,4369790.91,70.56,71.01,69.84,70.52,28623490.91
2017-07-01,6291.72,6312.88,6266.9,6294.67,1803156000.0,37.02,37.29,36.78,37.07,84402380.0,1007.65,1016.37,999.38,1008.48,3940620.0,71.84,72.41,71.44,72.01,23492560.0
2017-08-01,6310.58,6337.22,6283.27,6311.4,1792904347.83,39.74,40.04,39.45,39.76,114968521.74,973.25,978.45,964.75,971.44,3364860.87,72.72,73.2,72.29,72.82,19307413.04
2017-09-01,6427.71,6444.59,6403.12,6428.08,1908856000.0,39.53,39.72,39.11,39.4,136074820.0,971.95,975.8,963.27,968.99,2964590.0,74.37,74.79,73.89,74.34,18799195.0
2017-10-01,6599.95,6617.15,6580.79,6603.01,1882789545.45,39.34,39.65,39.17,39.45,91689327.27,999.54,1008.46,991.88,1000.72,3787913.64,77.89,78.35,77.53,77.94,20452272.73
2017-11-01,6790.12,6810.01,6765.82,6796.05,1993827619.05,43.12,43.36,42.75,43.1,114412076.19,1137.4,1146.47,1129.45,1139.81,3674523.81,83.65,84.09,83.16,83.72,20091714.29
2017-12-01,6895.9,6917.87,6867.77,6889.74,1928658500.0,42.93,43.22,42.71,42.97,106236760.0,1170.88,1177.66,1160.96,1168.84,2888010.0,84.84,85.41,84.16,84.76,23310165.0
2018-01-01,7266.52,7299.39,7239.73,7279.5,2114566190.48,43.51,43.8,43.2,43.5,125653219.05,1301.38,1317.42,1291.31,1309.01,4589104.76,89.97,90.66,89.37,90.08,27345638.1
2018-02-01,7167.51,7243.81,7095.71,7161.77,2304840526.32,41.82,42.47,41.37,41.91,195346168.42,1447.11,1469.08,1417.41,1442.36,7251789.47,91.44,92.77,90.05,91.37,38192805.26
2018-03-01,7325.14,7375.56,7251.84,7311.51,2302625238.1,43.76,44.2,43.27,43.62,135948133.33,1542.16,1556.59,1517.22,1540.37,6209528.57,93.23,94.21,91.89,92.9,35750228.57
2018-04-01,7101.22,7148.76,7032.11,7084.14,2044390000.0,42.44,42.91,42.07,42.46,126886533.33,1475.84,1492.34,1448.13,1468.22,6186647.62,93.53,94.47,92.06,93.21,31815747.62
2018-05-01,7319.6,7364.24,7293.38,7339.33,2063873636.36,46.24,46.62,45.97,46.38,112904781.82,1590.47,1601.44,1582.6,1594.9,3255250.0,96.63,97.54,95.98,96.98,23155359.09
2018-06-01,7644.27,7680.22,7605.27,7645.14,2300283809.52,47.18,47.46,46.85,47.16,100499904.76,1699.09,1711.8,1684.51,1698.82,4092442.86,100.67,101.33,99.86,100.56,28694533.33
2018-07-01,7751.3,7790.91,7709.31,7756.86,1841832857.14,47.55,47.88,47.25,47.58,74988838.1,1786.31,1801.52,1765.04,1784.65,4643861.9,104.59,105.46,103.67,104.64,27112014.29
2018-08-01,7876.03,7914.83,7855.44,7892.23,1995690434.78,53.12,53.64,52.83,53.34,121794591.3,1891.96,1908.75,1880.89,1897.85,4198947.83,108.45,109.2,107.85,108.68,19853395.65
